fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
193,16,4286,909,2025-07-26,2025
194,16,4368,2522,2025-07-26,2025
194,16,2522,4368,2025-07-26,2025
195,16,2370,282,2025-07-26,2025
195,16,282,2370,2025-07-26,2025
196,16,90,2901,2025-07-26,2025
196,16,2901,90,2025-07-26,2025
197,16,1525,2094,2025-07-26,2025
197,16,2094,1525,2025-07-26,2025
198,16,2639,2884,2025-07-26,2025
198,16,2884,2639,2025-07-26,2025
199,16,3479,2179,2025-07-26,2025
199,16,2179,3479,2025-07-26,2025
200,16,1477,378,2025-07-26,2025
200,16,378,1477,2025-07-26,2025
201,16,3301,3293,2025-07-26,2025
201,16,3293,3301,2025-07-26,2025
202,16,1083,204,2025-07-26,2025
202,16,204,1083,2025-07-26,2025
203,16,2834,4355,2025-07-26,2025
203,16,4355,2834,2025-07-26,2025
204,16,506,501,2025-07-26,2025
204,16,501,506,2025-07-26,2025
205,17,1696,3154,2025-07-19,2025
205,17,3154,1696,2025-07-19,2025
206,17,781,2075,2025-07-19,2025
206,17,2075,781,2025-07-19,2025
207,17,3373,1694,2025-07-19,2025
207,17,1694,3373,2025-07-19,2025
208,17,1272,1769,2025-07-19,2025
208,17,1769,1272,2025-07-19,2025
209,17,1876,4421,2025-07-19,2025
209,17,4421,1876,2025-07-19,2025
210,17,2929,3125,2025-07-19,2025
210,17,3125,2929,2025-07-19,2025
211,17,87,4167,2025-07-19,2025
211,17,4167,87,2025-07-19,2025
212,17,4163,3172,2025-07-19,2025
212,17,3172,4163,2025-07-19,2025
213,17,1353,4115,2025-07-19,2025
213,17,4115,1353,2025-07-19,2025
214,17,1036,1288,2025-07-19,2025
214,17,1288,1036,2025-07-19,2025
215,17,817,3170,2025-07-19,2025
215,17,3170,817,2025-07-19,2025
216,17,3814,500,2025-07-19,2025
216,17,500,3814,2025-07-19,2025
217,17,1194,2542,2025-07-19,2025
217,17,2542,1194,2025-07-19,2025
218,17,1931,559,2025-07-19,2025
218,17,559,1931,2025-07-19,2025
219,18,2234,3981,2025-07-12,2025
219,18,3981,2234,2025-07-12,2025
220,18,406,4008,2025-07-12,2025
220,18,4008,406,2025-07-12,2025
221,18,1339,1974,2025-07-12,2025
221,18,1974,1339,2025-07-12,2025
222,18,665,2140,2025-07-12,2025
222,18,2140,665,2025-07-12,2025
223,18,3107,2141,2025-07-12,2025
223,18,2141,3107,2025-07-12,2025
224,18,4024,3931,2025-07-12,2025
224,18,3931,4024,2025-07-12,2025
225,18,841,1493,2025-07-12,2025
225,18,1493,841,2025-07-12,2025
226,18,2480,2854,2025-07-12,2025
226,18,2854,2480,2025-07-12,2025
227,18,2722,2755,2025-07-12,2025
227,18,2755,2722,2025-07-12,2025
228,18,4217,2888,2025-07-12,2025
228,18,2888,4217,2025-07-12,2025
229,18,888,3235,2025-07-12,2025
229,18,3235,888,2025-07-12,2025
230,18,2051,2455,2025-07-12,2025
230,18,2455,2051,2025-07-12,2025
231,19,4033,2922,2025-06-28,2025
231,19,2922,4033,2025-06-28,2025
232,19,3001,1963,2025-06-28,2025
232,19,1963,3001,2025-06-28,2025
233,19,4124,3428,2025-06-28,2025
233,19,3428,4124,2025-06-28,2025
234,19,873,2658,2025-06-28,2025
234,19,2658,873,2025-06-28,2025
235,19,3945,2257,2025-06-28,2025
235,19,2257,3945,2025-06-28,2025
236,19,3364,1644,2025-06-28,2025
236,19,1644,3364,2025-06-28,2025
237,19,922,127,2025-06-28,2025
237,19,127,922,2025-06-28,2025
238,19,773,171,2025-06-28,2025
238,19,171,773,2025-06-28,2025
239,19,2534,418,2025-06-28,2025
239,19,418,2534,2025-06-28,2025
240,19,3761,3182,2025-06-28,2025
240,19,3182,3761,2025-06-28,2025
241,19,971,1677,2025-06-28,2025
241,19,1677,971,2025-06-28,2025
242,20,3420,1675,2025-06-21,2025
242,20,1675,3420,2025-06-21,2025
243,20,1224,241,2025-06-21,2025
243,20,241,1224,2025-06-21,2025
244,20,383,2104,2025-06-21,2025
244,20,2104,383,2025-06-21,2025
245,20,2946,2763,2025-06-21,2025
245,20,2763,2946,2025-06-21,2025
246,20,3453,2720,2025-06-21,2025
246,20,2720,3453,2025-06-21,2025
247,20,2775,1472,2025-06-21,2025
247,20,1472,2775,2025-06-21,2025
248,20,2059,1091,2025-06-21,2025
248,20,1091,2059,2025-06-21,2025
249,20,3011,2805,2025-06-21,2025
249,20,2805,3011,2025-06-21,2025
250,20,4433,2736,2025-06-21,2025
250,20,2736,4433,2025-06-21,2025
251,20,3917,66,2025-06-21,2025
251,20,66,3917,2025-06-21,2025
252,20,4091,2388,2025-06-21,2025
252,20,2388,4091,2025-06-21,2025
253,20,4107,6,2025-06-21,2025
253,20,6,4107,2025-06-21,2025
254,21,4106,505,2025-06-14,2025
254,21,505,4106,2025-06-14,2025
255,21,2792,2486,2025-06-14,2025
255,21,2486,2792,2025-06-14,2025
256,21,3636,3108,2025-06-14,2025
256,21,3108,3636,2025-06-14,2025
257,21,266,1333,2025-06-14,2025
257,21,1333,266,2025-06-14,2025
259,21,2574,3916,2025-06-14,2025
259,21,3916,2574,2025-06-14,2025
261,21,676,2521,2025-06-14,2025
261,21,2521,676,2025-06-14,2025
262,21,4268,2724,2025-06-14,2025
262,21,2724,4268,2025-06-14,2025
263,21,2901,1048,2025-06-14,2025
263,21,1048,2901,2025-06-14,2025
264,21,3717,3766,2025-06-14,2025
264,21,3766,3717,2025-06-14,2025
265,21,3424,2285,2025-06-14,2025
265,21,2285,3424,2025-06-14,2025
266,21,1727,929,2025-06-14,2025
266,21,929,1727,2025-06-14,2025
267,22,1052,2894,2025-06-07,2025
267,22,2894,1052,2025-06-07,2025
268,22,1589,3059,2025-06-07,2025
268,22,3059,1589,2025-06-07,2025
269,22,3200,1348,2025-06-07,2025
269,22,1348,3200,2025-06-07,2025
270,22,301,2647,2025-06-07,2025
270,22,2647,301,2025-06-07,2025
271,22,1694,2324,2025-06-07,2025
271,22,2324,1694,2025-06-07,2025
272,22,4124,3697,2025-06-07,2025
272,22,3697,4124,2025-06-07,2025
273,22,2761,3297,2025-06-07,2025
273,22,3297,2761,2025-06-07,2025
274,22,772,3826,2025-06-07,2025
274,22,3826,772,2025-06-07,2025
275,22,1529,4306,2025-06-07,2025
275,22,4306,1529,2025-06-07,2025
276,22,4234,847,2025-06-07,2025
276,22,847,4234,2025-06-07,2025
277,22,4389,3548,2025-06-07,2025
277,22,3548,4389,2025-06-07,2025
278,22,3482,196,2025-06-07,2025
278,22,196,3482,2025-06-07,2025
279,22,2548,686,2025-06-07,2025
279,22,686,2548,2025-06-07,2025
280,23,1324,2047,2025-05-31,2025
280,23,2047,1324,2025-05-31,2025
281,23,444,1402,2025-05-31,2025
281,23,1402,444,2025-05-31,2025
282,23,1825,2289,2025-05-31,2025
282,23,2289,1825,2025-05-31,2025
283,23,4177,675,2025-05-31,2025
283,23,675,4177,2025-05-31,2025
284,23,3267,4023,2025-05-31,2025
284,23,4023,3267,2025-05-31,2025
285,23,2797,1208,2025-05-31,2025
285,23,1208,2797,2025-05-31,2025
286,23,2180,1703,2025-05-31,2025
286,23,1703,2180,2025-05-31,2025
287,23,2915,210,2025-05-31,2025
287,23,210,2915,2025-05-31,2025
288,23,174,1001,2025-05-31,2025
288,23,1001,174,2025-05-31,2025
289,24,2695,525,2025-05-17,2025
289,24,525,2695,2025-05-17,2025
290,24,3544,4406,2025-05-17,2025
290,24,4406,3544,2025-05-17,2025
291,24,3445,3867,2025-05-17,2025
291,24,3867,3445,2025-05-17,2025
292,24,784,1120,2025-05-17,2025
292,24,1120,784,2025-05-17,2025
293,24,1488,565,2025-05-17,2025
293,24,565,1488,2025-05-17,2025
294,24,1440,2659,2025-05-17,2025
294,24,2659,1440,2025-05-17,2025
295,24,917,2481,2025-05-17,2025
295,24,2481,917,2025-05-17,2025
